Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
4044,Conor Gallagher,ENG,MF,Atlético Madrid,La Liga,25,18.1,1633,1.82,74.0,3,18,674,23,85.0,,,23,0,6,3,,3,20,12,25,2.8,,,14,24,64,64,107,,,45,65,32,1062,1.2,2.8
4045,Fran Garcia,ESP,DF,Real Madrid,La Liga,25,24.1,2171,1.67,61.0,2,38,1001,67,86.7,,,10,1,2,0,,0,28,24,20,0.9,,,23,78,119,177,106,,,51,79,36,1792,1.8,0.9
4046,Ulisses Garcia,SUI,DF,Marseille,Ligue 1,29,10.3,930,1.85,78.0,2,15,386,18,84.7,,,11,0,4,2,,2,8,8,15,1.5,,,10,23,53,87,48,,,14,22,11,712,1.4,1.5
4047,Alejandro Garnacho,ARG,"MF,FW",Manchester Utd,Premier League,21,24.4,2199,1.8,80.0,2,54,840,11,78.9,,,48,2,8,6,,6,13,37,64,7.3,,,25,141,56,290,108,,,30,43,18,1159,4.5,7.3
4048,Gavi,ESP,"MF,FW",Barcelona,La Liga,20,12.1,1085,1.73,70.0,1,7,557,7,90.0,,,9,0,2,1,,1,10,14,19,0.9,,,11,13,77,42,61,,,30,40,21,943,1.6,0.9
4049,Lutsharel Geertruida,NED,DF,RB Leipzig,Bundesliga,25,17.3,1557,1.84,76.0,0,12,642,59,86.7,,,4,4,1,1,,1,16,10,14,1.1,,,17,21,93,34,83,,,35,51,24,1266,1.0,1.1
4050,Yannick Gerhardt,GER,"MF,DF",Wolfsburg,Bundesliga,31,16.9,1518,1.84,81.0,1,19,438,47,76.9,,,3,0,2,1,,1,17,4,19,1.2,,,11,27,57,63,49,,,28,45,16,854,0.2,1.2
4051,Daniele Ghilardi,ITA,DF,Hellas Verona,Serie A,22,22.5,2029,ND,ND,0,10,529,106,78.4,,,2,0,0,0,,0,30,6,9,0.6,,,3,16,57,7,55,,,44,74,29,1070,0.2,0.6
4052,Bryan Gil,ESP,"FW,MF",Girona,La Liga,24,19.1,1721,1.75,67.0,3,23,715,9,81.8,,,39,4,6,3,,3,10,21,56,2.3,,,33,76,74,210,78,,,34,44,20,1019,2.9,2.3
4053,Benedikt Gimber,GER,DF,Heidenheim,Bundesliga,28,29.7,2671,1.85,83.0,0,16,865,131,82.5,,,7,1,0,0,,0,31,3,25,0.7,,,2,7,46,8,98,,,72,103,46,1643,0.3,0.7
4054,Gvidas Gineitis,LTU,MF,Torino,Serie A,21,15.9,1430,ND,ND,1,26,388,32,74.7,,,10,0,4,3,,3,18,21,25,1.3,,,7,15,36,43,57,,,25,43,15,715,2.0,1.3
4055,Jamie Gittens,ENG,"FW,MF",Dortmund,Bundesliga,20,19.7,1776,1.75,70.0,3,22,627,4,76.5,,,35,0,11,8,,8,10,21,49,3.6,,,24,113,42,180,63,,,31,41,19,873,2.5,3.6
4056,Edoardo Goldaniga,ITA,DF,Como,Serie A,31,28.1,2532,1.93,87.0,0,10,1008,102,86.4,,,8,3,1,1,,1,33,4,10,2.5,,,6,20,81,8,74,,,34,67,21,1757,0.3,2.5
4057,André Gomes,POR,MF,Lille,Ligue 1,32,14.2,1276,1.88,84.0,0,11,632,11,89.4,,,19,2,0,0,,0,6,10,25,0.5,,,15,18,101,28,92,,,27,33,13,1086,0.7,0.5
4058,Rodrigo Gomes,POR,"DF,FW",Wolves,Premier League,22,9.0,810,1.7,62.0,0,10,217,20,68.6,,,9,1,2,2,,2,7,12,21,0.7,,,14,23,27,81,28,,,23,30,15,417,0.9,0.7
4059,Joe Gomez,ENG,DF,Liverpool,Premier League,28,5.8,519,1.88,77.0,0,2,303,20,88.7,,,2,2,0,0,,0,7,2,1,0.3,,,0,5,35,2,34,,,13,20,10,481,0.1,0.3
4060,Unai Gómez,ESP,"MF,FW",Athletic Club,La Liga,22,14.3,1284,ND,ND,3,6,235,15,73.1,,,21,1,4,1,,1,2,10,23,1.9,,,1,19,23,49,42,,,12,14,8,439,0.8,1.9
4061,Andoni Gorosabel,ESP,DF,Athletic Club,La Liga,28,16.5,1485,1.74,72.0,2,21,432,62,83.3,,,14,0,2,0,,0,18,15,18,0.3,,,16,17,51,59,56,,,47,65,28,1084,1.8,0.3
4062,Mario Götze,GER,"MF,FW",Eint Frankfurt,Bundesliga,33,17.1,1542,1.76,71.0,2,26,617,8,77.5,,,27,0,5,3,,3,7,34,26,2.9,,,19,29,88,96,104,,,41,48,28,986,3.1,2.9
4063,Amine Gouiri,ALG,"FW,MF",Marseille,Ligue 1,25,11.6,1048,1.8,72.0,3,5,248,1,80.9,,,15,0,13,10,,10,1,26,22,8.4,,,8,17,20,97,24,,,5,6,5,472,3.6,8.4
4064,Jeffrey Gouweleeuw,NED,DF,Augsburg,Bundesliga,34,32.7,2944,1.87,78.0,4,10,1169,183,82.6,,,6,0,5,1,,1,35,14,19,0.9,,,22,24,142,19,141,,,50,85,28,2061,2.2,1.7
4065,Alberto Grassi,ITA,MF,Empoli,Serie A,30,24.5,2203,1.83,75.0,0,14,441,43,74.6,,,18,1,1,1,,1,33,7,26,1.0,,,7,18,74,24,124,,,39,72,21,1058,0.8,1.0
4066,Archie Gray,ENG,"DF,MF",Tottenham,Premier League,19,19.5,1751,1.83,57.0,0,18,878,50,87.4,,,11,2,0,0,,0,19,3,12,0.0,,,0,7,40,17,69,,,16,35,8,1286,0.1,0.0
4067,Florian Grillitsch,AUT,MF,Valladolid,La Liga,29,6.9,623,1.86,73.0,0,4,225,5,82.8,,,5,1,0,0,,0,4,8,5,0.1,,,5,9,38,7,42,,,11,15,7,398,0.7,0.1
4068,Brajan Gruda,GER,"MF,FW",Brighton,Premier League,21,7.6,687,ND,ND,4,3,202,5,74.5,,,21,1,5,1,,1,2,23,14,1.2,,,12,22,26,57,26,,,16,18,8,344,2.1,1.2
4069,Albert Grønbaek,DEN,"MF,FW",Rennes,Ligue 1,24,9.0,813,ND,ND,1,15,218,6,62.8,,,15,0,3,2,,2,4,19,33,1.5,,,13,23,30,58,24,,,21,25,11,386,1.0,1.5
